Category,CommunityName,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Commercial Robbery,CALGARY INTERNATIONAL AIRPORT,,,,,,,,,,,,
Commercial Robbery,CAMBRIAN HEIGHTS,,,1,,,,,,,,,
Commercial Robbery,CANADA OLYMPIC PARK,,,,,,,,,,,,
Commercial Robbery,CANYON MEADOWS,,1,,,,,,,,1,,
Commercial Robbery,CAPITOL HILL,,,,,1,,,,1,,1,
Commercial Robbery,CARRINGTON,,,,,,,,,,,,
Commercial Robbery,CASTLERIDGE,,,,,,,,,,,,
Commercial Robbery,CEDARBRAE,,,,,,,,,,,,
Commercial Robbery,CHAPARRAL,,,,,,,,,,,,
Commercial Robbery,CHARLESWOOD,,,,,,,,,,,,
Commercial Robbery,CHINATOWN,,,,,2,,,,,,,1
Commercial Robbery,CHINOOK PARK,,,,,,,,,,,,
Commercial Robbery,CHRISTIE PARK,,,,,,,,,,,,
Commercial Robbery,CITADEL,,,,,,,,,,,,
Commercial Robbery,CITYSCAPE,,,,,,,,,,,,
Commercial Robbery,CLIFF BUNGALOW,,,,,,,1,,,,,1
Commercial Robbery,COACH HILL,,,,,,,,,,,,
Commercial Robbery,COLLINGWOOD,,,,,,,,,,,,
Commercial Robbery,COPPERFIELD,,,,,,,,,,,,
Commercial Robbery,CORAL SPRINGS,,,,,,,,,,,1,
Commercial Robbery,CORNERSTONE,,,,,,,,,,,,
Commercial Robbery,COUGAR RIDGE,,,,,,,,,,,,
Commercial Robbery,COUNTRY HILLS,,1,,,,,,,,,,
Commercial Robbery,COUNTRY HILLS VILLAGE,,,,,,,,,,,,
Commercial Robbery,COVENTRY HILLS,,,,,,1,,,,,,
Commercial Robbery,CRANSTON,,,,,,,,,,,,
Commercial Robbery,CRESCENT HEIGHTS,,,,,,,,,,,,1
Commercial Robbery,CRESTMONT,,,,,,,,,,,,
Commercial Robbery,CURRIE BARRACKS,,,,,,,,,,,,
Commercial Robbery,DALHOUSIE,,,,,,1,,,,,,
Commercial Robbery,DEER RIDGE,,,,,,1,,,,,,
